dept,name,year,placement,source_url
dyson,Sharan Banerjee,2025,"Postdoctoral Fellow at KAPSARC School of Public Policy, Riyadh",https://dyson.cornell.edu/programs/graduate/placements/
dyson,Feng Chi,2025,Assistant Professor of Economics at University of Illinois Urbana-Champaign,https://dyson.cornell.edu/programs/graduate/placements/
dyson,Xiaoying Liu,2025,Principal Quantitative Modeler at Capital One,https://dyson.cornell.edu/programs/graduate/placements/
dyson,Michael Meneses,2025,Postdoctoral Associate at Yale School of the Environment,https://dyson.cornell.edu/programs/graduate/placements/
dyson,Anh Nguyen,2025,Lecturer at International University – VNUHCM,https://dyson.cornell.edu/programs/graduate/placements/
dyson,Shree Saha,2025,"Global Agriculture Division, World Bank at World Bank, Young Professionals Program",https://dyson.cornell.edu/programs/graduate/placements/
dyson,Weiliang Tan,2025,Postdoctoral Associate; Assistant Professor of Economics at National Bureau of Economic Research ; Claremont McKenna College,https://dyson.cornell.edu/programs/graduate/placements/
dyson,Tong Wu,2025,Research Scientist in Natural Resource Economics at Natural Resources Institute Finland,https://dyson.cornell.edu/programs/graduate/placements/
dyson,Minhao Yan,2025,Research Data Scientist at Freddie Mac,https://dyson.cornell.edu/programs/graduate/placements/
dyson,Leonel Borja,2024,Economist at InterAmerican Development Bank,https://dyson.cornell.edu/programs/graduate/placements/
dyson,Tarana Chauhan,2024,Post-doc at Brown,https://dyson.cornell.edu/programs/graduate/placements/
dyson,Huiyi Chen,2024,Assistant Professor at James Madison,https://dyson.cornell.edu/programs/graduate/placements/
dyson,Seungmin Lee,2024,Post-doc at Notre Dame,https://dyson.cornell.edu/programs/graduate/placements/
dyson,Mengwei Lin,2024,Managing Economist at Berkeley Research Group,https://dyson.cornell.edu/programs/graduate/placements/
dyson,Yiding Ma,2024,post-doc at DTUM,https://dyson.cornell.edu/programs/graduate/placements/
dyson,Daniel Maggio,2024,Assistant Professor at Rutgers,https://dyson.cornell.edu/programs/graduate/placements/
dyson,Anna Malinovskaya,2024,Post-doc at Princeton University,https://dyson.cornell.edu/programs/graduate/placements/
dyson,Trinh Pham,2024,Assistant Professor at KDI School of Public Policy and Management (Korea),https://dyson.cornell.edu/programs/graduate/placements/
dyson,Sergio Puerto,2024,Post-doc at Cornell University,https://dyson.cornell.edu/programs/graduate/placements/
dyson,Vanisha Sharma,2024,Post-doc at University of Washington,https://dyson.cornell.edu/programs/graduate/placements/
