name,year,placement,source_url
Tzu-Hui J. Chen,2026,Postdoctoral Associate at Cornell University,https://are.ucdavis.edu/phd/past-placements/
Saloni Chopra,2026,Lecturer (Asst. Professor) at University of St. Andrews,https://are.ucdavis.edu/phd/past-placements/
Rachel E. Jones,2026,Postdoc Research Fellowship at Nova School of Business and Economics,https://are.ucdavis.edu/phd/past-placements/
Mira Korb,2026,Data Scientist at Mathematica Policy Research,https://are.ucdavis.edu/phd/past-placements/
Zhiyao (Yao) Ma,2026,"Lecturer at University of California, Davis",https://are.ucdavis.edu/phd/past-placements/
Bruno Pimenta,2026,"Research Assistant at Imperial College, London",https://are.ucdavis.edu/phd/past-placements/
Kelly Yuexuan Wu,2026,Economist at Amazon,https://are.ucdavis.edu/phd/past-placements/
Wenjie Zhan,2026,Assistant Professor at Ontario Agricultural College,https://are.ucdavis.edu/phd/past-placements/
Felipe Grimaldi Avileis,2025,"Assistant Professor at University of Nebraska, Lincoln",https://are.ucdavis.edu/phd/past-placements/
"Jiting Jiang
2025",2025,Data Scientist at Meta,https://are.ucdavis.edu/phd/past-placements/
James Keeler,2025,"Postdoctoral Scholar at University of California, Davis",https://are.ucdavis.edu/phd/past-placements/
Pedro Liedo,2025,Assistant Professor at Tecnológico de Monterrey,https://are.ucdavis.edu/phd/past-placements/
Marcos M. Sugastti,2025,Postdoctoral Research Associate at University of Edinburgh,https://are.ucdavis.edu/phd/past-placements/
Isabelle Picciotto,2025,Assistant Professor at Arizona State University,https://are.ucdavis.edu/phd/past-placements/
Sam Raburn,2025,Economist at California Department of Pesticide Regulation,https://are.ucdavis.edu/phd/past-placements/
"Syeda Warda Riaz
2025",2025,Assistant Professor of Economics at Lahore University of Management Sciences,https://are.ucdavis.edu/phd/past-placements/
Frederik Strabo,2025,"Postdoctoral Scholar at University of California, Davis",https://are.ucdavis.edu/phd/past-placements/
Mengfei Zhou,2025,Associate Professor at Huazhong Agricultural University,https://are.ucdavis.edu/phd/past-placements/
"Dasha Ageikina
2024",2024,Data Scientist at Glynmoran,https://are.ucdavis.edu/phd/past-placements/
Isaac Ahimbisibwe,2024,Assistant Professor at Baylor University,https://are.ucdavis.edu/phd/past-placements/
Thomas Anderson Jr.,2024,Assistant Professor at University of Florida,https://are.ucdavis.edu/phd/past-placements/
Julian Arteaga,2024,Consultant at World Bank,https://are.ucdavis.edu/phd/past-placements/
"Marieke (Mari) Fenton
2024",2024,Air Pollution Specialist at California Air Resources Board,https://are.ucdavis.edu/phd/past-placements/
Tengda Gong,2024,Assistant Professor at University of Manitoba,https://are.ucdavis.edu/phd/past-placements/
Sean Kiely,2024,Postdoctoral Fellow in Agricultural Economics at National Bureau of Economic Research,https://are.ucdavis.edu/phd/past-placements/
